Lagernummer;Lagerplatz;Aktivität;Fortlaufende Nummer;Aktivitätsbereich;Lagertyp;Lagerbereich;Lagerplatzgang;Sortierreihenfolge;Entfernung zum Start des Gangs;Ganglänge;Folgegang;Enfernung zum Folgegang;Konsolidierungsgrup.;Nachrichtenzeile
4901;AKF2-01;PTWY;1;KL2P;ÜB2;;1;10000;;;;;;
4901;SP21001  B01;PTWY;2;SPG1;SP2;;1;10001;;;;;;
4901;SP21001  B02;PTWY;3;SPG1;SP2;;1;10002;;;;;;
4901;SP21002  B01;PTWY;4;SPG1;SP2;;1;10003;;;;;;
4901;SP21002  B02;PTWY;5;SPG1;SP2;;1;10004;;;;;;
4901;SP21003  B01;PTWY;6;SPG1;SP2;;1;10005;;;;;;
4901;SP21003  B02;PTWY;7;SPG1;SP2;;1;10006;;;;;;
4901;SP21004  B01;PTWY;8;SPG1;SP2;;1;10007;;;;;;
4901;SP21004  B02;PTWY;9;SPG1;SP2;;1;10008;;;;;;
4901;SP21005  B01;PTWY;10;SPG1;SP2;;1;10009;;;;;;
4901;SP21005  B02;PTWY;11;SPG1;SP2;;1;10010;;;;;;
4901;SP21006  B01;PTWY;12;SPG1;SP2;;1;10011;;;;;;
4901;SP21006  B02;PTWY;13;SPG1;SP2;;1;10012;;;;;;
4901;SP21007  B01;PTWY;14;SPG1;SP2;;1;10013;;;;;;
4901;SP21007  B02;PTWY;15;SPG1;SP2;;1;10014;;;;;;
4901;SP21008  B02;PTWY;16;SPG1;SP2;;1;10015;;;;;;
4901;SP21009  B01;PTWY;17;SPG1;SP2;;1;10016;;;;;;
4901;SP21009  B02;PTWY;18;SPG1;SP2;;1;10017;;;;;;
4901;SP21010  B01;PTWY;19;SPG1;SP2;;1;10018;;;;;;
4901;SP21010  B02;PTWY;20;SPG1;SP2;;1;10019;;;;;;
4901;SP21011  B01;PTWY;21;SPG1;SP2;;1;10020;;;;;;
4901;SP21011  B02;PTWY;22;SPG1;SP2;;1;10021;;;;;;
4901;SP21012  B01;PTWY;23;SPG1;SP2;;1;10022;;;;;;
4901;SP21012  B02;PTWY;24;SPG1;SP2;;1;10023;;;;;;
4901;SP21013  B01;PTWY;25;SPG1;SP2;;1;10024;;;;;;
4901;SP21013  B02;PTWY;26;SPG1;SP2;;1;10025;;;;;;
4901;SP21014  B01;PTWY;27;SPG1;SP2;;1;10026;;;;;;
4901;SP21014  B02;PTWY;28;SPG1;SP2;;1;10027;;;;;;
4901;SP21015  B01;PTWY;29;SPG1;SP2;;1;10028;;;;;;
4901;SP21015  B02;PTWY;30;SPG1;SP2;;1;10029;;;;;;
4901;SP21016  B01;PTWY;31;SPG1;SP2;;1;10030;;;;;;
4901;SP21016  B02;PTWY;32;SPG1;SP2;;1;10031;;;;;;
4901;SP21017  B01;PTWY;33;SPG1;SP2;;1;10032;;;;;;
