Lagernummer;Lagerplatz;Aktivität;Fortlaufende Nummer;Aktivitätsbereich;Lagertyp;Lagerbereich;Lagerplatzgang;Sortierreihenfolge;Entfernung zum Start des Gangs;Ganglänge;Folgegang;Enfernung zum Folgegang;Konsolidierungsgrup.;Nachrichtenzeile
4901;AKF2-01;PICK;1;FL2;ÜB2;;1;10000;;;;;;
4901;SP21001  B01;PICK;2;SP2;SP2;;1;10001;;;;;;
4901;SP21001  B02;PICK;3;SP2;SP2;;1;10002;;;;;;
4901;SP21002  B01;PICK;4;SP2;SP2;;1;10003;;;;;;
4901;SP21002  B02;PICK;5;SP2;SP2;;1;10004;;;;;;
4901;SP21003  B01;PICK;6;SP2;SP2;;1;10005;;;;;;
4901;SP21003  B02;PICK;7;SP2;SP2;;1;10006;;;;;;
4901;SP21004  B01;PICK;8;SP2;SP2;;1;10007;;;;;;
4901;SP21004  B02;PICK;9;SP2;SP2;;1;10008;;;;;;
4901;SP21005  B01;PICK;10;SP2;SP2;;1;10009;;;;;;
4901;SP21005  B02;PICK;11;SP2;SP2;;1;10010;;;;;;
4901;SP21006  B01;PICK;12;SP2;SP2;;1;10011;;;;;;
4901;SP21006  B02;PICK;13;SP2;SP2;;1;10012;;;;;;
4901;SP21007  B01;PICK;14;SP2;SP2;;1;10013;;;;;;
4901;SP21007  B02;PICK;15;SP2;SP2;;1;10014;;;;;;
4901;SP21008  B02;PICK;16;SP2;SP2;;1;10015;;;;;;
4901;SP21009  B01;PICK;17;SP2;SP2;;1;10016;;;;;;
4901;SP21009  B02;PICK;18;SP2;SP2;;1;10017;;;;;;
4901;SP21010  B01;PICK;19;SP2;SP2;;1;10018;;;;;;
4901;SP21010  B02;PICK;20;SP2;SP2;;1;10019;;;;;;
4901;SP21011  B01;PICK;21;SP2;SP2;;1;10020;;;;;;
4901;SP21011  B02;PICK;22;SP2;SP2;;1;10021;;;;;;
4901;SP21012  B01;PICK;23;SP2;SP2;;1;10022;;;;;;
4901;SP21012  B02;PICK;24;SP2;SP2;;1;10023;;;;;;
