Lagernummer;Lagerplatz;Aktivität;Fortlaufende Nummer;Aktivitätsbereich;Lagertyp;Lagerbereich;Lagerplatzgang;Sortierreihenfolge;Entfernung zum Start des Gangs;Ganglänge;Folgegang;Enfernung zum Folgegang;Konsolidierungsgrup.;Nachrichtenzeile
4901;KD11002  A01;MFSI;1;KLG1;KD1;;;1;;;;;;
4901;KL11002  A02;MFSI;2;KLG1;KL1;;;2;;;;;;
4901;KL11002  A03;MFSI;3;KLG1;KL1;;;3;;;;;;
4901;KD11002  B01;MFSI;4;KLG1;KD1;;;4;;;;;;
4901;KD11002  C01;MFSI;5;KLG1;KD1;;;5;;;;;;
4901;KD11002  D01;MFSI;6;KLG1;KD1;;;6;;;;;;
4901;KL11004  A01;MFSI;7;KLG1;KL1;;;7;;;;;;
4901;KL11004  A02;MFSI;8;KLG1;KL1;;;8;;;;;;
4901;KL11004  A03;MFSI;9;KLG1;KL1;;;9;;;;;;
4901;KL11006  A01;MFSI;10;KLG1;KL1;;;10;;;;;;
4901;KL11006  A02;MFSI;11;KLG1;KL1;;;11;;;;;;
4901;KL11006  A03;MFSI;12;KLG1;KL1;;;12;;;;;;
4901;KL11008  A01;MFSI;13;KLG1;KL1;;;13;;;;;;
4901;KL11008  A02;MFSI;14;KLG1;KL1;;;14;;;;;;
4901;KL11008  A03;MFSI;15;KLG1;KL1;;;15;;;;;;
4901;KL11010  A01;MFSI;16;KLG1;KL1;;;16;;;;;;
4901;KL11010  A02;MFSI;17;KLG1;KL1;;;17;;;;;;
4901;KL11010  A03;MFSI;18;KLG1;KL1;;;18;;;;;;
4901;KL11012  A01;MFSI;19;KLG1;KL1;;;19;;;;;;
4901;KL11012  A02;MFSI;20;KLG1;KL1;;;20;;;;;;
4901;KL11012  A03;MFSI;21;KLG1;KL1;;;21;;;;;;
4901;KL11014  A01;MFSI;22;KLG1;KL1;;;22;;;;;;
4901;KL11014  A02;MFSI;23;KLG1;KL1;;;23;;;;;;
4901;KL11014  A03;MFSI;24;KLG1;KL1;;;24;;;;;;
4901;KL11016  A01;MFSI;25;KLG1;KL1;;;25;;;;;;
4901;KL11016  A02;MFSI;26;KLG1;KL1;;;26;;;;;;
4901;KL11016  A03;MFSI;27;KLG1;KL1;;;27;;;;;;
4901;KL11018  A01;MFSI;28;KLG1;KL1;;;28;;;;;;
4901;KL11018  A02;MFSI;29;KLG1;KL1;;;29;;;;;;
4901;KL11018  A03;MFSI;30;KLG1;KL1;;;30;;;;;;
4901;KL11020  A01;MFSI;31;KLG1;KL1;;;31;;;;;;
4901;KL11020  A02;MFSI;32;KLG1;KL1;;;32;;;;;;
4901;KL11020  A03;MFSI;33;KLG1;KL1;;;33;;;;;;
4901;KL11022  A01;MFSI;34;KLG1;KL1;;;34;;;;;;
4901;KL11022  A02;MFSI;35;KLG1;KL1;;;35;;;;;;
4901;KL11022  A03;MFSI;36;KLG1;KL1;;;36;;;;;;
4901;KL11024  A01;MFSI;37;KLG1;KL1;;;37;;;;;;
4901;KL11024  A02;MFSI;38;KLG1;KL1;;;38;;;;;;
4901;KL11024  A03;MFSI;39;KLG1;KL1;;;39;;;;;;
4901;KL11026  A01;MFSI;40;KLG1;KL1;;;40;;;;;;
4901;KL11026  A02;MFSI;41;KLG1;KL1;;;41;;;;;;
4901;KL11026  A03;MFSI;42;KLG1;KL1;;;42;;;;;;
4901;KL11028  A01;MFSI;43;KLG1;KL1;;;43;;;;;;
4901;KL11028  A02;MFSI;44;KLG1;KL1;;;44;;;;;;
4901;KL11028  A03;MFSI;45;KLG1;KL1;;;45;;;;;;
4901;KL11030  A01;MFSI;46;KLG1;KL1;;;46;;;;;;
4901;KL11030  A02;MFSI;47;KLG1;KL1;;;47;;;;;;
4901;KL11030  A03;MFSI;48;KLG1;KL1;;;48;;;;;;
4901;KL11032  A01;MFSI;49;KLG1;KL1;;;49;;;;;;
4901;KL11032  A02;MFSI;50;KLG1;KL1;;;50;;;;;;
4901;KL11032  A03;MFSI;51;KLG1;KL1;;;51;;;;;;
4901;KL11034  A01;MFSI;52;KLG1;KL1;;;52;;;;;;
4901;KL11034  A02;MFSI;53;KLG1;KL1;;;53;;;;;;
4901;KL11034  A03;MFSI;54;KLG1;KL1;;;54;;;;;;
4901;KL11036  A01;MFSI;55;KLG1;KL1;;;55;;;;;;
4901;KL11036  A02;MFSI;56;KLG1;KL1;;;56;;;;;;
4901;KL11036  A03;MFSI;57;KLG1;KL1;;;57;;;;;;
4901;KL11038  A01;MFSI;58;KLG1;KL1;;;58;;;;;;
4901;KL11038  A02;MFSI;59;KLG1;KL1;;;59;;;;;;
4901;KL11038  A03;MFSI;60;KLG1;KL1;;;60;;;;;;
4901;KL11040  A01;MFSI;61;KLG1;KL1;;;61;;;;;;
4901;KL11040  A02;MFSI;62;KLG1;KL1;;;62;;;;;;
4901;KL11040  A03;MFSI;63;KLG1;KL1;;;63;;;;;;
4901;KL11042  A01;MFSI;64;KLG1;KL1;;;64;;;;;;
4901;KL11042  A02;MFSI;65;KLG1;KL1;;;65;;;;;;
4901;KL11042  A03;MFSI;66;KLG1;KL1;;;66;;;;;;
4901;KL11044  A01;MFSI;67;KLG1;KL1;;;67;;;;;;
4901;KL11044  A02;MFSI;68;KLG1;KL1;;;68;;;;;;
4901;KL11044  A03;MFSI;69;KLG1;KL1;;;69;;;;;;
4901;KL11046  A01;MFSI;70;KLG1;KL1;;;70;;;;;;
4901;KL11046  A02;MFSI;71;KLG1;KL1;;;71;;;;;;
4901;KL11046  A03;MFSI;72;KLG1;KL1;;;72;;;;;;
4901;KL11048  A01;MFSI;73;KLG1;KL1;;;73;;;;;;
4901;KL11048  A02;MFSI;74;KLG1;KL1;;;74;;;;;;
