Lagernummer;Lagerplatz;Aktivität;Fortlaufende Nummer;Aktivitätsbereich;Lagertyp;Lagerbereich;Lagerplatzgang;Sortierreihenfolge;Entfernung zum Start des Gangs;Ganglänge;Folgegang;Enfernung zum Folgegang;Konsolidierungsgrup.;Nachrichtenzeile
4901;AKF2-02;ZOPI;1;ZOPE;ÜB2;;2;20093;;;;;;
4901;AKF2-03;ZOPI;2;ZOPE;ÜB2;;3;20094;;;;;;
4901;KL23001  A01;ZOPI;3;ZOPE;KL2;;3;20095;;;;;;
4901;KL23001  A02;ZOPI;4;ZOPE;KL2;;3;20096;;;;;;
4901;KL23001  A03;ZOPI;5;ZOPE;KL2;;3;20097;;;;;;
4901;KL23001  A04;ZOPI;6;ZOPE;KL2;;3;20098;;;;;;
4901;KL23001  A05;ZOPI;7;ZOPE;KL2;;3;20099;;;;;;
4901;KL23001  A06;ZOPI;8;ZOPE;KL2;;3;20100;;;;;;
4901;KL23001  A07;ZOPI;9;ZOPE;KL2;;3;20101;;;;;;
4901;KL23001  A08;ZOPI;10;ZOPE;KL2;;3;20102;;;;;;
4901;KL23001  A09;ZOPI;11;ZOPE;KL2;;3;20103;;;;;;
4901;KL23001  A10;ZOPI;12;ZOPE;KL2;;3;20104;;;;;;
4901;KL23001  A11;ZOPI;13;ZOPE;KL2;;3;20105;;;;;;
4901;KL23001  A12;ZOPI;14;ZOPE;KL2;;3;20106;;;;;;
4901;KL23001  A13;ZOPI;15;ZOPE;KL2;;3;20107;;;;;;
4901;KL23001  A14;ZOPI;16;ZOPE;KL2;;3;20108;;;;;;
4901;KL23001  A15;ZOPI;17;ZOPE;KL2;;3;20109;;;;;;
4901;KL23001  B01;ZOPI;18;ZOPE;KL2;;3;20110;;;;;;
4901;KL23001  B02;ZOPI;19;ZOPE;KL2;;3;20111;;;;;;
4901;KL23001  B03;ZOPI;20;ZOPE;KL2;;3;20112;;;;;;
4901;KL23001  B04;ZOPI;21;ZOPE;KL2;;3;20113;;;;;;
4901;KL23001  B05;ZOPI;22;ZOPE;KL2;;3;20114;;;;;;
4901;KL23001  B06;ZOPI;23;ZOPE;KL2;;3;20115;;;;;;
4901;KL23001  B07;ZOPI;24;ZOPE;KL2;;3;20116;;;;;;
4901;KL23001  B08;ZOPI;25;ZOPE;KL2;;3;20117;;;;;;
4901;KL23001  B09;ZOPI;26;ZOPE;KL2;;3;20118;;;;;;
4901;KL23001  B10;ZOPI;27;ZOPE;KL2;;3;20119;;;;;;
4901;KL23001  B11;ZOPI;28;ZOPE;KL2;;3;20120;;;;;;
4901;KL23001  B12;ZOPI;29;ZOPE;KL2;;3;20121;;;;;;
4901;KL23001  B13;ZOPI;30;ZOPE;KL2;;3;20122;;;;;;
4901;KL23001  B14;ZOPI;31;ZOPE;KL2;;3;20123;;;;;;
