Lagernummer;Lagerplatz;Aktivität;Fortlaufende Nummer;Aktivitätsbereich;Lagertyp;Lagerbereich;Lagerplatzgang;Sortierreihenfolge;Entfernung zum Start des Gangs;Ganglänge;Folgegang;Enfernung zum Folgegang;Konsolidierungsgrup.;Nachrichtenzeile
4901;AKF2-01;INVE;1;KL2P;ÜB2;;1;10000;;;;;;
4901;SP21002  B01;INVE;2;SPG1;SP2;;1;10001;;;;;;
4901;SP21002  B02;INVE;3;SPG1;SP2;;1;10002;;;;;;
4901;SP21004  B01;INVE;4;SPG1;SP2;;1;10003;;;;;;
4901;SP21004  B02;INVE;5;SPG1;SP2;;1;10004;;;;;;
4901;SP21006  B01;INVE;6;SPG1;SP2;;1;10005;;;;;;
4901;SP21006  B02;INVE;7;SPG1;SP2;;1;10006;;;;;;
4901;SP21008  B02;INVE;8;SPG1;SP2;;1;10007;;;;;;
4901;SP21010  B01;INVE;9;SPG1;SP2;;1;10008;;;;;;
4901;SP21010  B02;INVE;10;SPG1;SP2;;1;10009;;;;;;
4901;SP21012  B01;INVE;11;SPG1;SP2;;1;10010;;;;;;
4901;SP21012  B02;INVE;12;SPG1;SP2;;1;10011;;;;;;
4901;SP21014  B01;INVE;13;SPG1;SP2;;1;10012;;;;;;
4901;SP21014  B02;INVE;14;SPG1;SP2;;1;10013;;;;;;
4901;SP21016  B01;INVE;15;SPG1;SP2;;1;10014;;;;;;
4901;SP21016  B02;INVE;16;SPG1;SP2;;1;10015;;;;;;
4901;SP21018  B01;INVE;17;SPG1;SP2;;1;10016;;;;;;
4901;SP21018  B02;INVE;18;SPG1;SP2;;1;10017;;;;;;
4901;SP21020  B01;INVE;19;SPG1;SP2;;1;10018;;;;;;
4901;SP21020  B02;INVE;20;SPG1;SP2;;1;10019;;;;;;
4901;SP21022  B01;INVE;21;SPG1;SP2;;1;10020;;;;;;
4901;SP21022  B02;INVE;22;SPG1;SP2;;1;10021;;;;;;
4901;SP21024  B01;INVE;23;SPG1;SP2;;1;10022;;;;;;
4901;SP21024  B02;INVE;24;SPG1;SP2;;1;10023;;;;;;
4901;SP21026  B01;INVE;25;SPG1;SP2;;1;10024;;;;;;
4901;SP21026  B02;INVE;26;SPG1;SP2;;1;10025;;;;;;
4901;SP21028  B01;INVE;27;SPG1;SP2;;1;10026;;;;;;
4901;SP21028  B02;INVE;28;SPG1;SP2;;1;10027;;;;;;
4901;SP21030  B01;INVE;29;SPG1;SP2;;1;10028;;;;;;
4901;SP22002  B02;INVE;30;SPG2;SP2;;2;20000;;;;;;
4901;SP22003  B01;INVE;31;SPG2;SP2;;2;20001;;;;;;
4901;SP22003  B02;INVE;32;SPG2;SP2;;2;20002;;;;;;
4901;SP22004  B01;INVE;33;SPG2;SP2;;2;20003;;;;;;
4901;SP22004  B02;INVE;34;SPG2;SP2;;2;20004;;;;;;
4901;SP22005  B01;INVE;35;SPG2;SP2;;2;20005;;;;;;
4901;SP22005  B02;INVE;36;SPG2;SP2;;2;20006;;;;;;
4901;SP22006  B01;INVE;37;SPG2;SP2;;2;20007;;;;;;
4901;SP22006  B02;INVE;38;SPG2;SP2;;2;20008;;;;;;
4901;SP22007  B01;INVE;39;SPG2;SP2;;2;20009;;;;;;
4901;SP22007  B02;INVE;40;SPG2;SP2;;2;20010;;;;;;
4901;SP22008  B01;INVE;41;SPG2;SP2;;2;20011;;;;;;
4901;SP22008  B02;INVE;42;SPG2;SP2;;2;20012;;;;;;
4901;SP22009  B01;INVE;43;SPG2;SP2;;2;20013;;;;;;
4901;SP22009  B02;INVE;44;SPG2;SP2;;2;20014;;;;;;
4901;SP22010  B01;INVE;45;SPG2;SP2;;2;20015;;;;;;
4901;SP22010  B02;INVE;46;SPG2;SP2;;2;20016;;;;;;
4901;SP22011  B01;INVE;47;SPG2;SP2;;2;20017;;;;;;
4901;SP22011  B02;INVE;48;SPG2;SP2;;2;20018;;;;;;
4901;SP22012  B01;INVE;49;SPG2;SP2;;2;20019;;;;;;
4901;SP22012  B02;INVE;50;SPG2;SP2;;2;20020;;;;;;
4901;SP22013  B01;INVE;51;SPG2;SP2;;2;20021;;;;;;
4901;SP22013  B02;INVE;52;SPG2;SP2;;2;20022;;;;;;
4901;SP22014  B01;INVE;53;SPG2;SP2;;2;20023;;;;;;
4901;SP22014  B02;INVE;54;SPG2;SP2;;2;20024;;;;;;
4901;SP22015  B01;INVE;55;SPG2;SP2;;2;20025;;;;;;
4901;SP22015  B02;INVE;56;SPG2;SP2;;2;20026;;;;;;
4901;SP22016  B01;INVE;57;SPG2;SP2;;2;20027;;;;;;
4901;SP22016  B02;INVE;58;SPG2;SP2;;2;20028;;;;;;
4901;SP22017  B01;INVE;59;SPG2;SP2;;2;20029;;;;;;
4901;SP22017  B02;INVE;60;SPG2;SP2;;2;20030;;;;;;
4901;SP22018  B01;INVE;61;SPG2;SP2;;2;20031;;;;;;
4901;SP22018  B02;INVE;62;SPG2;SP2;;2;20032;;;;;;
4901;SP22019  B01;INVE;63;SPG2;SP2;;2;20033;;;;;;
4901;SP22019  B02;INVE;64;SPG2;SP2;;2;20034;;;;;;
4901;SP22020  B01;INVE;65;SPG2;SP2;;2;20035;;;;;;
4901;SP22020  B02;INVE;66;SPG2;SP2;;2;20036;;;;;;
4901;SP22021  B01;INVE;67;SPG2;SP2;;2;20037;;;;;;
4901;SP22021  B02;INVE;68;SPG2;SP2;;2;20038;;;;;;
4901;SP22022  B01;INVE;69;SPG2;SP2;;2;20039;;;;;;
4901;SP22022  B02;INVE;70;SPG2;SP2;;2;20040;;;;;;
4901;SP22023  B01;INVE;71;SPG2;SP2;;2;20041;;;;;;
4901;SP22023  B02;INVE;72;SPG2;SP2;;2;20042;;;;;;
4901;SP22024  B01;INVE;73;SPG2;SP2;;2;20043;;;;;;
4901;SP22024  B02;INVE;74;SPG2;SP2;;2;20044;;;;;;
4901;SP22025  B01;INVE;75;SPG2;SP2;;2;20045;;;;;;
4901;SP22025  B02;INVE;76;SPG2;SP2;;2;20046;;;;;;
4901;SP22026  B01;INVE;77;SPG2;SP2;;2;20047;;;;;;
4901;SP22026  B02;INVE;78;SPG2;SP2;;2;20048;;;;;;
4901;SP22027  B01;INVE;79;SPG2;SP2;;2;20049;;;;;;
4901;SP22027  B02;INVE;80;SPG2;SP2;;2;20050;;;;;;
4901;SP22028  B01;INVE;81;SPG2;SP2;;2;20051;;;;;;
4901;SP22028  B02;INVE;82;SPG2;SP2;;2;20052;;;;;;
4901;SP22029  B01;INVE;83;SPG2;SP2;;2;20053;;;;;;
4901;SP22029  B02;INVE;84;SPG2;SP2;;2;20054;;;;;;
4901;SP22030  B01;INVE;85;SPG2;SP2;;2;20055;;;;;;
4901;SP22030  B02;INVE;86;SPG2;SP2;;2;20056;;;;;;
4901;SP22031  B01;INVE;87;SPG2;SP2;;2;20057;;;;;;
4901;SP22031  B02;INVE;88;SPG2;SP2;;2;20058;;;;;;
4901;SP22032  B01;INVE;89;SPG2;SP2;;2;20059;;;;;;
4901;SP22032  B02;INVE;90;SPG2;SP2;;2;20060;;;;;;
4901;SP22033  B01;INVE;91;SPG2;SP2;;2;20061;;;;;;
4901;SP22033  B02;INVE;92;SPG2;SP2;;2;20062;;;;;;
4901;SP22034  B01;INVE;93;SPG2;SP2;;2;20063;;;;;;
4901;SP22034  B02;INVE;94;SPG2;SP2;;2;20064;;;;;;
4901;SP22035  B01;INVE;95;SPG2;SP2;;2;20065;;;;;;
4901;SP22035  B02;INVE;96;SPG2;SP2;;2;20066;;;;;;
4901;SP22036  B01;INVE;97;SPG2;SP2;;2;20067;;;;;;
4901;SP22036  B02;INVE;98;SPG2;SP2;;2;20068;;;;;;
4901;SP22037  B01;INVE;99;SPG2;SP2;;2;20069;;;;;;
4901;SP22037  B02;INVE;100;SPG2;SP2;;2;20070;;;;;;
4901;SP22038  B01;INVE;101;SPG2;SP2;;2;20071;;;;;;
4901;SP22038  B02;INVE;102;SPG2;SP2;;2;20072;;;;;;
4901;SP22039  B01;INVE;103;SPG2;SP2;;2;20073;;;;;;
4901;SP22039  B02;INVE;104;SPG2;SP2;;2;20074;;;;;;
4901;SP22040  B01;INVE;105;SPG2;SP2;;2;20075;;;;;;
4901;SP22040  B02;INVE;106;SPG2;SP2;;2;20076;;;;;;
4901;SP22041  B01;INVE;107;SPG2;SP2;;2;20077;;;;;;
4901;SP22041  B02;INVE;108;SPG2;SP2;;2;20078;;;;;;
4901;SP22042  B01;INVE;109;SPG2;SP2;;2;20079;;;;;;
4901;SP22042  B02;INVE;110;SPG2;SP2;;2;20080;;;;;;
4901;SP22043  B01;INVE;111;SPG2;SP2;;2;20081;;;;;;
4901;SP22043  B02;INVE;112;SPG2;SP2;;2;20082;;;;;;
4901;SP22044  B01;INVE;113;SPG2;SP2;;2;20083;;;;;;
4901;SP22044  B02;INVE;114;SPG2;SP2;;2;20084;;;;;;
4901;SP22045  B01;INVE;115;SPG2;SP2;;2;20085;;;;;;
4901;SP22045  B02;INVE;116;SPG2;SP2;;2;20086;;;;;;
4901;SP22046  B01;INVE;117;SPG2;SP2;;2;20087;;;;;;
4901;SP22046  B02;INVE;118;SPG2;SP2;;2;20088;;;;;;
4901;SP22047  B01;INVE;119;SPG2;SP2;;2;20089;;;;;;
4901;SP22047  B02;INVE;120;SPG2;SP2;;2;20090;;;;;;
4901;SP22048  B01;INVE;121;SPG2;SP2;;2;20091;;;;;;
4901;SP22048  B02;INVE;122;SPG2;SP2;;2;20092;;;;;;
4901;AKF2-02;INVE;123;KL2P;ÜB2;;2;20093;;;;;;
4901;AKF2-03;INVE;124;KL2P;ÜB2;;3;30000;;;;;;
4901;KL23001  A01;INVE;125;KL2P;KL2;;3;30001;;;;;;
4901;KL23001  A02;INVE;126;KL2P;KL2;;3;30002;;;;;;
4901;KL23001  A03;INVE;127;KL2P;KL2;;3;30003;;;;;;
4901;KL23001  A04;INVE;128;KL2P;KL2;;3;30004;;;;;;
