Lagernummer;Lagerplatz;Aktivität;Fortlaufende Nummer;Aktivitätsbereich;Lagertyp;Lagerbereich;Lagerplatzgang;Sortierreihenfolge;Entfernung zum Start des Gangs;Ganglänge;Folgegang;Enfernung zum Folgegang;Konsolidierungsgrup.;Nachrichtenzeile
4901;AKF2-01;REPM;1;FL2;ÜB2;;1;10000;;;;;;
4901;SP21002  B01;REPM;2;FL2;SP2;;1;10001;;;;;;
4901;SP21002  B02;REPM;3;FL2;SP2;;1;10002;;;;;;
4901;SP21004  B01;REPM;4;FL2;SP2;;1;10003;;;;;;
4901;SP21004  B02;REPM;5;FL2;SP2;;1;10004;;;;;;
4901;SP21006  B01;REPM;6;FL2;SP2;;1;10005;;;;;;
4901;SP21006  B02;REPM;7;FL2;SP2;;1;10006;;;;;;
4901;SP21008  B02;REPM;8;FL2;SP2;;1;10007;;;;;;
4901;SP21010  B01;REPM;9;FL2;SP2;;1;10008;;;;;;
4901;SP21010  B02;REPM;10;FL2;SP2;;1;10009;;;;;;
4901;SP21012  B01;REPM;11;FL2;SP2;;1;10010;;;;;;
4901;SP21012  B02;REPM;12;FL2;SP2;;1;10011;;;;;;
4901;SP21014  B01;REPM;13;FL2;SP2;;1;10012;;;;;;
4901;SP21014  B02;REPM;14;FL2;SP2;;1;10013;;;;;;
4901;SP21016  B01;REPM;15;FL2;SP2;;1;10014;;;;;;
4901;SP21016  B02;REPM;16;FL2;SP2;;1;10015;;;;;;
4901;SP21018  B01;REPM;17;FL2;SP2;;1;10016;;;;;;
4901;SP21018  B02;REPM;18;FL2;SP2;;1;10017;;;;;;
4901;SP21020  B01;REPM;19;FL2;SP2;;1;10018;;;;;;
4901;SP21020  B02;REPM;20;FL2;SP2;;1;10019;;;;;;
4901;SP21022  B01;REPM;21;FL2;SP2;;1;10020;;;;;;
4901;SP21022  B02;REPM;22;FL2;SP2;;1;10021;;;;;;
4901;SP21024  B01;REPM;23;FL2;SP2;;1;10022;;;;;;
4901;SP21024  B02;REPM;24;FL2;SP2;;1;10023;;;;;;
4901;SP21026  B01;REPM;25;FL2;SP2;;1;10024;;;;;;
4901;SP21026  B02;REPM;26;FL2;SP2;;1;10025;;;;;;
4901;SP21028  B01;REPM;27;FL2;SP2;;1;10026;;;;;;
4901;SP21028  B02;REPM;28;FL2;SP2;;1;10027;;;;;;
4901;SP21030  B01;REPM;29;FL2;SP2;;1;10028;;;;;;
4901;SP22002  B02;REPM;30;FL2;SP2;;2;20000;;;;;;
4901;SP22003  B01;REPM;31;FL2;SP2;;2;20001;;;;;;
4901;SP22003  B02;REPM;32;FL2;SP2;;2;20002;;;;;;
