Lagernummer;Lagerplatz;Aktivität;Fortlaufende Nummer;Aktivitätsbereich;Lagertyp;Lagerbereich;Lagerplatzgang;Sortierreihenfolge;Entfernung zum Start des Gangs;Ganglänge;Folgegang;Enfernung zum Folgegang;Konsolidierungsgrup.;Nachrichtenzeile
4901;AKF2-01;PICK;1;FL2;ÜB2;;1;10000;;;;;;
4901;SP21002  B01;PICK;2;SP2;SP2;;1;10001;;;;;;
4901;SP21002  B02;PICK;3;SP2;SP2;;1;10002;;;;;;
4901;SP21004  B01;PICK;4;SP2;SP2;;1;10003;;;;;;
4901;SP21004  B02;PICK;5;SP2;SP2;;1;10004;;;;;;
4901;SP21006  B01;PICK;6;SP2;SP2;;1;10005;;;;;;
4901;SP21006  B02;PICK;7;SP2;SP2;;1;10006;;;;;;
4901;SP21008  B02;PICK;8;SP2;SP2;;1;10007;;;;;;
4901;SP21010  B01;PICK;9;SP2;SP2;;1;10008;;;;;;
4901;SP21010  B02;PICK;10;SP2;SP2;;1;10009;;;;;;
4901;SP21012  B01;PICK;11;SP2;SP2;;1;10010;;;;;;
4901;SP21012  B02;PICK;12;SP2;SP2;;1;10011;;;;;;
4901;SP21014  B01;PICK;13;SP2;SP2;;1;10012;;;;;;
4901;SP21014  B02;PICK;14;SP2;SP2;;1;10013;;;;;;
4901;SP21016  B01;PICK;15;SP2;SP2;;1;10014;;;;;;
4901;SP21016  B02;PICK;16;SP2;SP2;;1;10015;;;;;;
4901;SP21018  B01;PICK;17;SP2;SP2;;1;10016;;;;;;
4901;SP21018  B02;PICK;18;SP2;SP2;;1;10017;;;;;;
4901;SP21020  B01;PICK;19;SP2;SP2;;1;10018;;;;;;
4901;SP21020  B02;PICK;20;SP2;SP2;;1;10019;;;;;;
4901;SP21022  B01;PICK;21;SP2;SP2;;1;10020;;;;;;
4901;SP21022  B02;PICK;22;SP2;SP2;;1;10021;;;;;;
4901;SP21024  B01;PICK;23;SP2;SP2;;1;10022;;;;;;
4901;SP21024  B02;PICK;24;SP2;SP2;;1;10023;;;;;;
4901;SP21026  B01;PICK;25;SP2;SP2;;1;10024;;;;;;
4901;SP21026  B02;PICK;26;SP2;SP2;;1;10025;;;;;;
4901;SP21028  B01;PICK;27;SP2;SP2;;1;10026;;;;;;
4901;SP21028  B02;PICK;28;SP2;SP2;;1;10027;;;;;;
4901;SP21030  B01;PICK;29;SP2;SP2;;1;10028;;;;;;
4901;SP22002  B02;PICK;30;SP2;SP2;;2;20000;;;;;;
4901;SP22003  B01;PICK;31;SP2;SP2;;2;20001;;;;;;
4901;SP22003  B02;PICK;32;SP2;SP2;;2;20002;;;;;;
4901;SP22004  B01;PICK;33;SP2;SP2;;2;20003;;;;;;
4901;SP22004  B02;PICK;34;SP2;SP2;;2;20004;;;;;;
4901;SP22005  B01;PICK;35;SP2;SP2;;2;20005;;;;;;
4901;SP22005  B02;PICK;36;SP2;SP2;;2;20006;;;;;;
4901;SP22006  B01;PICK;37;SP2;SP2;;2;20007;;;;;;
4901;SP22006  B02;PICK;38;SP2;SP2;;2;20008;;;;;;
4901;SP22007  B01;PICK;39;SP2;SP2;;2;20009;;;;;;
4901;SP22007  B02;PICK;40;SP2;SP2;;2;20010;;;;;;
4901;SP22008  B01;PICK;41;SP2;SP2;;2;20011;;;;;;
4901;SP22008  B02;PICK;42;SP2;SP2;;2;20012;;;;;;
4901;SP22009  B01;PICK;43;SP2;SP2;;2;20013;;;;;;
4901;SP22009  B02;PICK;44;SP2;SP2;;2;20014;;;;;;
