Lagernummer;Lagerplatz;Aktivität;Fortlaufende Nummer;Aktivitätsbereich;Lagertyp;Lagerbereich;Lagerplatzgang;Sortierreihenfolge;Entfernung zum Start des Gangs;Ganglänge;Folgegang;Enfernung zum Folgegang;Konsolidierungsgrup.;Nachrichtenzeile
4901;KL37001  P01;PTWY;1;FL3;KL3P;;7;70000;;;;;;
4901;KL37001  P02;PTWY;2;FL3;KL3P;;7;70001;;;;;;
4901;KL37001  P03;PTWY;3;FL3;KL3P;;7;70002;;;;;;
4901;KL37001  P04;PTWY;4;FL3;KL3P;;7;70003;;;;;;
4901;KL37001  P05;PTWY;5;FL3;KL3P;;7;70004;;;;;;
4901;KL37001  P05 ;PTWY;6;FL3;KL3P;;7;70005;;;;;;
4901;KL37001  P06;PTWY;7;FL3;KL3P;;7;70006;;;;;;
4901;KL37001  P06 ;PTWY;8;FL3;KL3P;;7;70007;;;;;;
4901;KL37001  P07;PTWY;9;FL3;KL3P;;7;70008;;;;;;
4901;KL37001  P08;PTWY;10;FL3;KL3P;;7;70009;;;;;;
4901;KL37001  P08 ;PTWY;11;FL3;KL3P;;7;70010;;;;;;
4901;KL37001  P09;PTWY;12;FL3;KL3P;;7;70011;;;;;;
4901;KL37002  P01;PTWY;13;FL3;KL3P;;7;70012;;;;;;
4901;KL37002  P02;PTWY;14;FL3;KL3P;;7;70013;;;;;;
4901;KL37002  P03;PTWY;15;FL3;KL3P;;7;70014;;;;;;
4901;KL37002  P04;PTWY;16;FL3;KL3P;;7;70015;;;;;;
4901;KL37002  P05;PTWY;17;FL3;KL3P;;7;70016;;;;;;
4901;KL37002  P05 ;PTWY;18;FL3;KL3P;;7;70017;;;;;;
4901;KL37002  P06;PTWY;19;FL3;KL3P;;7;70018;;;;;;
4901;KL37002  P06 ;PTWY;20;FL3;KL3P;;7;70019;;;;;;
4901;KL37002  P07;PTWY;21;FL3;KL3P;;7;70020;;;;;;
4901;KL37002  P07 ;PTWY;22;FL3;KL3P;;7;70021;;;;;;
4901;KL37003  A01;PTWY;23;FL3;KL3P;;7;70022;;;;;;
4901;KL37003  A02;PTWY;24;FL3;KL3P;;7;70023;;;;;;
4901;KL37003  A02 ;PTWY;25;FL3;KL3P;;7;70024;;;;;;
4901;KL37003  A03;PTWY;26;FL3;KL3P;;7;70025;;;;;;
4901;KL37004  A01;PTWY;27;FL3;KL3P;;7;70026;;;;;;
4901;KL37004  A02;PTWY;28;FL3;KL3P;;7;70027;;;;;;
4901;KL37004  A02 ;PTWY;29;FL3;KL3P;;7;70028;;;;;;
4901;KL37004  A03;PTWY;30;FL3;KL3P;;7;70029;;;;;;
4901;KL37005  A01;PTWY;31;FL3;KL3P;;7;70030;;;;;;
4901;KL37005  A02;PTWY;32;FL3;KL3P;;7;70031;;;;;;
4901;KL37005  A02 ;PTWY;33;FL3;KL3P;;7;70032;;;;;;
4901;KL37005  A03;PTWY;34;FL3;KL3P;;7;70033;;;;;;
4901;KL37006  A01;PTWY;35;FL3;KL3P;;7;70034;;;;;;
4901;KL37006  A01 ;PTWY;36;FL3;KL3P;;7;70035;;;;;;
4901;KL37006  A02;PTWY;37;FL3;KL3P;;7;70036;;;;;;
4901;KL37006  A02 ;PTWY;38;FL3;KL3P;;7;70037;;;;;;
4901;KL37006  A03;PTWY;39;FL3;KL3P;;7;70038;;;;;;
4901;KL37007  A01;PTWY;40;FL3;KL3P;;7;70039;;;;;;
4901;KL37007  A02;PTWY;41;FL3;KL3P;;7;70040;;;;;;
4901;KL37007  A03;PTWY;42;FL3;KL3P;;7;70041;;;;;;
4901;KL37007  A04;PTWY;43;FL3;KL3P;;7;70042;;;;;;
4901;KL37007  A05;PTWY;44;FL3;KL3P;;7;70043;;;;;;
4901;KL37007  A06;PTWY;45;FL3;KL3P;;7;70044;;;;;;
4901;KL37007  B01;PTWY;46;FL3;KL3P;;7;70045;;;;;;
4901;KL37007  B02;PTWY;47;FL3;KL3P;;7;70046;;;;;;
4901;KL37007  B03;PTWY;48;FL3;KL3P;;7;70047;;;;;;
4901;KL37007  B04;PTWY;49;FL3;KL3P;;7;70048;;;;;;
4901;KL37007  B05;PTWY;50;FL3;KL3P;;7;70049;;;;;;
4901;KL37007  C01;PTWY;51;FL3;KL3P;;7;70050;;;;;;
4901;KL37007  C02;PTWY;52;FL3;KL3P;;7;70051;;;;;;
4901;KL37007  C03;PTWY;53;FL3;KL3P;;7;70052;;;;;;
4901;KL37007  C04;PTWY;54;FL3;KL3P;;7;70053;;;;;;
4901;KL37007  C05;PTWY;55;FL3;KL3P;;7;70054;;;;;;
4901;KL37007  D01;PTWY;56;FL3;KL3P;;7;70055;;;;;;
4901;KL37007  D02;PTWY;57;FL3;KL3P;;7;70056;;;;;;
4901;KL37007  D03;PTWY;58;FL3;KL3P;;7;70057;;;;;;
4901;KL37007  D04;PTWY;59;FL3;KL3P;;7;70058;;;;;;
4901;KL37007  D05;PTWY;60;FL3;KL3P;;7;70059;;;;;;
4901;KL37008  A01;PTWY;61;FL3;KL3P;;7;70060;;;;;;
4901;KL37008  A02;PTWY;62;FL3;KL3P;;7;70061;;;;;;
4901;KL37008  A03;PTWY;63;FL3;KL3P;;7;70062;;;;;;
4901;KL37008  A04;PTWY;64;FL3;KL3P;;7;70063;;;;;;
4901;KL37008  A05;PTWY;65;FL3;KL3P;;7;70064;;;;;;
4901;KL37008  B01;PTWY;66;FL3;KL3P;;7;70065;;;;;;
4901;KL37008  B02;PTWY;67;FL3;KL3P;;7;70066;;;;;;
4901;KL37008  B03;PTWY;68;FL3;KL3P;;7;70067;;;;;;
4901;KL37008  B04;PTWY;69;FL3;KL3P;;7;70068;;;;;;
4901;KL37008  B05;PTWY;70;FL3;KL3P;;7;70069;;;;;;
4901;KL37008  B06;PTWY;71;FL3;KL3P;;7;70070;;;;;;
4901;KL37008  C01;PTWY;72;FL3;KL3P;;7;70071;;;;;;
4901;KL37008  C02;PTWY;73;FL3;KL3P;;7;70072;;;;;;
4901;KL37008  C03;PTWY;74;FL3;KL3P;;7;70073;;;;;;
4901;KL37008  C04;PTWY;75;FL3;KL3P;;7;70074;;;;;;
4901;KL37008  C05;PTWY;76;FL3;KL3P;;7;70075;;;;;;
4901;KL37008  C06;PTWY;77;FL3;KL3P;;7;70076;;;;;;
4901;KL37008  D01;PTWY;78;FL3;KL3P;;7;70077;;;;;;
4901;KL37008  D02;PTWY;79;FL3;KL3P;;7;70078;;;;;;
4901;KL37008  D03;PTWY;80;FL3;KL3P;;7;70079;;;;;;
4901;KL37008  D04;PTWY;81;FL3;KL3P;;7;70080;;;;;;
4901;KL37008  D05;PTWY;82;FL3;KL3P;;7;70081;;;;;;
