Lagernummer;Lagerplatz;Aktivität;Fortlaufende Nummer;Aktivitätsbereich;Lagertyp;Lagerbereich;Lagerplatzgang;Sortierreihenfolge;Entfernung zum Start des Gangs;Ganglänge;Folgegang;Enfernung zum Folgegang;Konsolidierungsgrup.;Nachrichtenzeile
4901;SP11099  A01;PICK;1;SP1;;;1;1;;;;;;
4901;SP11099  A02;PICK;1;SP1;;;1;2;;;;;;
4901;SP11099  A03;PICK;1;SP1;;;1;3;;;;;;
4901;SP11099  A04;PICK;1;SP1;;;1;4;;;;;;
4901;SP11099  A05;PICK;1;SP1;;;1;5;;;;;;
4901;SP11099  A06;PICK;1;SP1;;;1;6;;;;;;
4901;SP11099  A07;PICK;1;SP1;;;1;7;;;;;;
4901;SP11099  A08;PICK;1;SP1;;;1;8;;;;;;
4901;SP11099  A09;PICK;1;SP1;;;1;9;;;;;;
4901;SP11099  A10;PICK;1;SP1;;;1;10;;;;;;
4901;SP11099  B01;PICK;1;SP1;;;1;11;;;;;;
4901;SP11099  B02;PICK;1;SP1;;;1;12;;;;;;
4901;SP11099  B03;PICK;1;SP1;;;1;13;;;;;;
4901;SP11099  B04;PICK;1;SP1;;;1;14;;;;;;
4901;SP11099  B05;PICK;1;SP1;;;1;15;;;;;;
4901;SP11099  B06;PICK;1;SP1;;;1;16;;;;;;
4901;SP11099  B07;PICK;1;SP1;;;1;17;;;;;;
4901;SP11099  B08;PICK;1;SP1;;;1;18;;;;;;
4901;SP11099  B09;PICK;1;SP1;;;1;19;;;;;;
4901;SP11099  B10;PICK;1;SP1;;;1;20;;;;;;
4901;SP11099  C01;PICK;1;SP1;;;1;21;;;;;;
4901;SP11099  C02;PICK;1;SP1;;;1;22;;;;;;
4901;SP11099  C03;PICK;1;SP1;;;1;23;;;;;;
4901;SP11099  C04;PICK;1;SP1;;;1;24;;;;;;
4901;SP11099  C05;PICK;1;SP1;;;1;25;;;;;;
4901;SP11099  C06;PICK;1;SP1;;;1;26;;;;;;
4901;SP11099  C07;PICK;1;SP1;;;1;27;;;;;;
4901;SP11099  C08;PICK;1;SP1;;;1;28;;;;;;
4901;SP11099  C09;PICK;1;SP1;;;1;29;;;;;;
4901;SP11099  C10;PICK;1;SP1;;;1;30;;;;;;
4901;SP11102  A01;PICK;1;SP1;;;1;31;;;;;;
4901;SP11102  A02;PICK;1;SP1;;;1;32;;;;;;
4901;SP11102  B01;PICK;1;SP1;;;1;33;;;;;;
4901;SP11102  B02;PICK;1;SP1;;;1;34;;;;;;
4901;SPN1102  C01;PICK;2;SP1;;;1;35;;;;;;
4901;SPN1102  C02;PICK;2;SP1;;;1;36;;;;;;
4901;SPN1102  D01;PICK;2;SP1;;;1;37;;;;;;
4901;SPN1102  D02;PICK;2;SP1;;;1;38;;;;;;
4901;SPN1102  E01;PICK;2;SP1;;;1;39;;;;;;
4901;SPN1102  E02;PICK;2;SP1;;;1;40;;;;;;
4901;SP11104  A01;PICK;1;SP1;;;1;41;;;;;;
4901;SP11104  A02;PICK;1;SP1;;;1;42;;;;;;
4901;SP11104  B01;PICK;1;SP1;;;1;43;;;;;;
4901;SP11104  B02;PICK;1;SP1;;;1;44;;;;;;
4901;SPN1104  C01;PICK;2;SP1;;;1;45;;;;;;
4901;SPN1104  C02;PICK;2;SP1;;;1;46;;;;;;
4901;SPN1104  D01;PICK;2;SP1;;;1;47;;;;;;
4901;SPN1104  D02;PICK;2;SP1;;;1;48;;;;;;
4901;SPN1104  E01;PICK;2;SP1;;;1;49;;;;;;
4901;SPN1104  E02;PICK;2;SP1;;;1;50;;;;;;
4901;SP11106  A01;PICK;1;SP1;;;1;51;;;;;;
4901;SP11106  A02;PICK;1;SP1;;;1;52;;;;;;
4901;SP11106  B01;PICK;1;SP1;;;1;53;;;;;;
4901;SP11106  B02;PICK;1;SP1;;;1;54;;;;;;
4901;SPN1106  C01;PICK;2;SP1;;;1;55;;;;;;
4901;SPN1106  C02;PICK;2;SP1;;;1;56;;;;;;
4901;SPN1106  D01;PICK;2;SP1;;;1;57;;;;;;
4901;SPN1106  D02;PICK;2;SP1;;;1;58;;;;;;
4901;SPN1106  E01;PICK;2;SP1;;;1;59;;;;;;
4901;SPN1106  E02;PICK;2;SP1;;;1;60;;;;;;
4901;SP11108  A01;PICK;1;SP1;;;1;61;;;;;;
4901;SP11108  A02;PICK;1;SP1;;;1;62;;;;;;
4901;SP11108  B01;PICK;1;SP1;;;1;63;;;;;;
4901;SP11108  B02;PICK;1;SP1;;;1;64;;;;;;
4901;SPN1108  C01;PICK;2;SP1;;;1;65;;;;;;
4901;SPN1108  C02;PICK;2;SP1;;;1;66;;;;;;
4901;SPN1108  D01;PICK;2;SP1;;;1;67;;;;;;
4901;SPN1108  D02;PICK;2;SP1;;;1;68;;;;;;
4901;SPN1108  E01;PICK;2;SP1;;;1;69;;;;;;
4901;SPN1108  E02;PICK;2;SP1;;;1;70;;;;;;
4901;SP11110  A01;PICK;1;SP1;;;1;71;;;;;;
4901;SP11110  A02;PICK;1;SP1;;;1;72;;;;;;
4901;SP11110  B01;PICK;1;SP1;;;1;73;;;;;;
