Lagernummer;Lagerplatz;Aktivität;Fortlaufende Nummer;Aktivitätsbereich;Lagertyp;Lagerbereich;Lagerplatzgang;Sortierreihenfolge;Entfernung zum Start des Gangs;Ganglänge;Folgegang;Enfernung zum Folgegang;Konsolidierungsgrup.;Nachrichtenzeile
4901;KD11002  A01;REPL;1;KL11;KD1;;;1;;;;;;
4901;KL11002  A02;REPL;2;KL11;KL1;;;2;;;;;;
4901;KL11002  A03;REPL;3;KL11;KL1;;;3;;;;;;
4901;KD11002  B01;REPL;4;KL11;KD1;;;4;;;;;;
4901;KD11002  C01;REPL;5;KL11;KD1;;;5;;;;;;
4901;KD11002  D01;REPL;6;KL11;KD1;;;6;;;;;;
4901;KL11004  A01;REPL;7;KL11;KL1;;;7;;;;;;
4901;KL11004  A02;REPL;8;KL11;KL1;;;8;;;;;;
4901;KL11004  A03;REPL;9;KL11;KL1;;;9;;;;;;
4901;KL11006  A01;REPL;10;KL11;KL1;;;10;;;;;;
4901;KL11006  A02;REPL;11;KL11;KL1;;;11;;;;;;
4901;KL11006  A03;REPL;12;KL11;KL1;;;12;;;;;;
4901;KL11008  A01;REPL;13;KL11;KL1;;;13;;;;;;
4901;KL11008  A02;REPL;14;KL11;KL1;;;14;;;;;;
4901;KL11008  A03;REPL;15;KL11;KL1;;;15;;;;;;
4901;KL11010  A01;REPL;16;KL11;KL1;;;16;;;;;;
4901;KL11010  A02;REPL;17;KL11;KL1;;;17;;;;;;
4901;KL11010  A03;REPL;18;KL11;KL1;;;18;;;;;;
4901;KL11012  A01;REPL;19;KL11;KL1;;;19;;;;;;
4901;KL11012  A02;REPL;20;KL11;KL1;;;20;;;;;;
4901;KL11012  A03;REPL;21;KL11;KL1;;;21;;;;;;
4901;KL11014  A01;REPL;22;KL11;KL1;;;22;;;;;;
4901;KL11014  A02;REPL;23;KL11;KL1;;;23;;;;;;
4901;KL11014  A03;REPL;24;KL11;KL1;;;24;;;;;;
4901;KL11016  A01;REPL;25;KL11;KL1;;;25;;;;;;
4901;KL11016  A02;REPL;26;KL11;KL1;;;26;;;;;;
4901;KL11016  A03;REPL;27;KL11;KL1;;;27;;;;;;
