Lagernummer;Lagerplatz;Aktivität;Fortlaufende Nummer;Aktivitätsbereich;Lagertyp;Lagerbereich;Lagerplatzgang;Sortierreihenfolge;Entfernung zum Start des Gangs;Ganglänge;Folgegang;Enfernung zum Folgegang;Konsolidierungsgrup.;Nachrichtenzeile
4901;WER1001  A01;REPL;1;EK1;WER;;;1;;;;;;
4901;WER1001  A02;REPL;2;EK1;WER;;;2;;;;;;
4901;WER1001  A03;REPL;3;EK1;WER;;;3;;;;;;
4901;WER1001  A04;REPL;4;EK1;WER;;;4;;;;;;
4901;WER1001  A07;REPL;5;EK1;WER;;;5;;;;;;
4901;WER1001  A08;REPL;6;EK1;WER;;;6;;;;;;
4901;WER1001  A10;REPL;7;EK1;WER;;;7;;;;;;
4901;WER1001  A21;REPL;8;EK1;WER;;;8;;;;;;
4901;WER1001  A66;REPL;9;EK1;WER;;;9;;;;;;
4901;WER1001  A77;REPL;10;EK1;WER;;;10;;;;;;
4901;WER1001  A96;REPL;11;EK1;WER;;;11;;;;;;
4901;WER1001  A97;REPL;12;EK1;WER;;;12;;;;;;
4901;WER1001  A98;REPL;13;EK1;WER;;;13;;;;;;
4901;WER1002  A02;REPL;14;EK1;WER;;;14;;;;;;
4901;WER1002  A03;REPL;15;EK1;WER;;;15;;;;;;
4901;WER1002  A04;REPL;16;EK1;WER;;;16;;;;;;
4901;WER1002  A05;REPL;17;EK1;WER;;;17;;;;;;
4901;WER1002  A06;REPL;18;EK1;WER;;;18;;;;;;
4901;WER1002  A07;REPL;19;EK1;WER;;;19;;;;;;
4901;WER1002  A08;REPL;20;EK1;WER;;;20;;;;;;
4901;WER1002  A09;REPL;21;EK1;WER;;;21;;;;;;
4901;WER1002  A10;REPL;22;EK1;WER;;;22;;;;;;
4901;WER1002  A11;REPL;23;EK1;WER;;;23;;;;;;
4901;WER1002  A12;REPL;24;EK1;WER;;;24;;;;;;
4901;WER1003  A01;REPL;25;EK1;WER;;;25;;;;;;
4901;WER1003  A02;REPL;26;EK1;WER;;;26;;;;;;
4901;WER1003  A03;REPL;27;EK1;WER;;;27;;;;;;
4901;WER1003  A04;REPL;28;EK1;WER;;;28;;;;;;
4901;WER1003  A05;REPL;29;EK1;WER;;;29;;;;;;
4901;WER1003  A06;REPL;30;EK1;WER;;;30;;;;;;
4901;WER1003  A07;REPL;31;EK1;WER;;;31;;;;;;
4901;WER1003  A08;REPL;32;EK1;WER;;;32;;;;;;
4901;WER1003  A09;REPL;33;EK1;WER;;;33;;;;;;
4901;WER1003  A10;REPL;34;EK1;WER;;;34;;;;;;
4901;WER1003  A11;REPL;35;EK1;WER;;;35;;;;;;
4901;WER1004  A01;REPL;36;EK1;WER;;;36;;;;;;
4901;WER1004  A02;REPL;37;EK1;WER;;;37;;;;;;
4901;WER1004  A03;REPL;38;EK1;WER;;;38;;;;;;
4901;WER1004  A04;REPL;39;EK1;WER;;;39;;;;;;
4901;WER1004  A05;REPL;40;EK1;WER;;;40;;;;;;
4901;WER1004  A06;REPL;41;EK1;WER;;;41;;;;;;
4901;WER1004  A07;REPL;42;EK1;WER;;;42;;;;;;
4901;WER1004  A08;REPL;43;EK1;WER;;;43;;;;;;
4901;WER1004  A09;REPL;44;EK1;WER;;;44;;;;;;
4901;WER1004  A10;REPL;45;EK1;WER;;;45;;;;;;
4901;WER1004  A11;REPL;46;EK1;WER;;;46;;;;;;
4901;WER1004  A12;REPL;47;EK1;WER;;;47;;;;;;
4901;WER1005  A01;REPL;48;EK1;WER;;;48;;;;;;
4901;WER1005  A02;REPL;49;EK1;WER;;;49;;;;;;
4901;WER1005  A03;REPL;50;EK1;WER;;;50;;;;;;
4901;WER1005  A04;REPL;51;EK1;WER;;;51;;;;;;
4901;WER1005  A05;REPL;52;EK1;WER;;;52;;;;;;
4901;WER1005  A06;REPL;53;EK1;WER;;;53;;;;;;
4901;WER1005  A08;REPL;54;EK1;WER;;;54;;;;;;
4901;WER1005  A09;REPL;55;EK1;WER;;;55;;;;;;
4901;WER1005  A10;REPL;56;EK1;WER;;;56;;;;;;
4901;WER1006  A01;REPL;57;EK1;WER;;;57;;;;;;
4901;WER1006  A02;REPL;58;EK1;WER;;;58;;;;;;
4901;WER1006  A03;REPL;59;EK1;WER;;;59;;;;;;
4901;WER1006  A04;REPL;60;EK1;WER;;;60;;;;;;
4901;WER1006  A05;REPL;61;EK1;WER;;;61;;;;;;
4901;WER1006  A06;REPL;62;EK1;WER;;;62;;;;;;
4901;WER1006  A07;REPL;63;EK1;WER;;;63;;;;;;
4901;WER1006  A08;REPL;64;EK1;WER;;;64;;;;;;
4901;WER1007  A01;REPL;65;EK1;WER;;;65;;;;;;
4901;WER1007  A02;REPL;66;EK1;WER;;;66;;;;;;
4901;WER1007  A03;REPL;67;EK1;WER;;;67;;;;;;
4901;WER1007  A04;REPL;68;EK1;WER;;;68;;;;;;
4901;WER1007  A05;REPL;69;EK1;WER;;;69;;;;;;
4901;WER1007  A06;REPL;70;EK1;WER;;;70;;;;;;
4901;WER1007  A07;REPL;71;EK1;WER;;;71;;;;;;
4901;WER1007  A08;REPL;72;EK1;WER;;;72;;;;;;
4901;WER1007  A09;REPL;73;EK1;WER;;;73;;;;;;
4901;WER1007  A10;REPL;74;EK1;WER;;;74;;;;;;
4901;WER1007  A11;REPL;75;EK1;WER;;;75;;;;;;
4901;WER1008  A01;REPL;76;EK1;WER;;;76;;;;;;
4901;WER1008  A02;REPL;77;EK1;WER;;;77;;;;;;
4901;WER1008  A03;REPL;78;EK1;WER;;;78;;;;;;
4901;WER1008  A04;REPL;79;EK1;WER;;;79;;;;;;
4901;WER1008  A05;REPL;80;EK1;WER;;;80;;;;;;
4901;WER1008  A06;REPL;81;EK1;WER;;;81;;;;;;
4901;WER1008  A07;REPL;82;EK1;WER;;;82;;;;;;
4901;WER1008  A08;REPL;83;EK1;WER;;;83;;;;;;
4901;WER1008  A09;REPL;84;EK1;WER;;;84;;;;;;
4901;WER1008  A10;REPL;85;EK1;WER;;;85;;;;;;
4901;WER1008  A11;REPL;86;EK1;WER;;;86;;;;;;
4901;WER1008  A12;REPL;87;EK1;WER;;;87;;;;;;
4901;WER1008  A13;REPL;88;EK1;WER;;;88;;;;;;
4901;WER1008  A14;REPL;89;EK1;WER;;;89;;;;;;
4901;WER1009  A01;REPL;90;EK1;WER;;;90;;;;;;
4901;WER1009  A02;REPL;91;EK1;WER;;;91;;;;;;
4901;WER1009  A03;REPL;92;EK1;WER;;;92;;;;;;
4901;WER1009  A04;REPL;93;EK1;WER;;;93;;;;;;
4901;WER1009  A05;REPL;94;EK1;WER;;;94;;;;;;
4901;WER1009  A06;REPL;95;EK1;WER;;;95;;;;;;
4901;WER1009  A07;REPL;96;EK1;WER;;;96;;;;;;
4901;WER1009  A08;REPL;97;EK1;WER;;;97;;;;;;
