Lagernummer;Lagerplatz;Aktivität;Fortlaufende Nummer;Aktivitätsbereich;Lagertyp;Lagerbereich;Lagerplatzgang;Sortierreihenfolge;Entfernung zum Start des Gangs;Ganglänge;Folgegang;Enfernung zum Folgegang;Konsolidierungsgrup.;Nachrichtenzeile
4901;KD12001  A01;ZOPI;1;ZOPA;KD1;;2;20000;;;;;;
4901;KL12001  A01;ZOPI;2;ZOPA;KL1;;2;20001;;;;;;
4901;KL12001  A02;ZOPI;3;ZOPA;KL1;;2;20002;;;;;;
4901;KL12001  A03;ZOPI;4;ZOPA;KL1;;2;20003;;;;;;
4901;KD12001  B01;ZOPI;5;ZOPA;KD1;;2;20004;;;;;;
4901;KL12001  B02;ZOPI;6;ZOPA;KL1;;2;20005;;;;;;
4901;KL12001  B03;ZOPI;7;ZOPA;KL1;;2;20006;;;;;;
4901;KD12001  C01;ZOPI;8;ZOPA;KD1;;2;20007;;;;;;
4901;KD12001  D01;ZOPI;9;ZOPA;KD1;;2;20008;;;;;;
4901;KD12002  A01;ZOPI;13;ZOPA;KD1;;2;20012;;;;;;
4901;KD12002  B01;ZOPI;14;ZOPA;KD1;;2;20013;;;;;;
4901;KD12002  C01;ZOPI;15;ZOPA;KD1;;2;20014;;;;;;
4901;KD12002  D01;ZOPI;16;ZOPA;KD1;;2;20015;;;;;;
4901;KL12003  A01;ZOPI;20;ZOPA;KL1;;2;20019;;;;;;
4901;KL12003  A02;ZOPI;21;ZOPA;KL1;;2;20020;;;;;;
4901;KL12003  A03;ZOPI;22;ZOPA;KL1;;2;20021;;;;;;
4901;KL12004  A01;ZOPI;23;ZOPA;KL1;;2;20022;;;;;;
4901;KL12004  A02;ZOPI;24;ZOPA;KL1;;2;20023;;;;;;
4901;KL12004  A03;ZOPI;25;ZOPA;KL1;;2;20024;;;;;;
4901;KL12004  B01;ZOPI;26;ZOPA;KL1;;2;20025;;;;;;
4901;KL12005  A01;ZOPI;27;ZOPA;KL1;;2;20026;;;;;;
4901;KL12005  A02;ZOPI;28;ZOPA;KL1;;2;20027;;;;;;
4901;KL12005  A03;ZOPI;29;ZOPA;KL1;;2;20028;;;;;;
4901;KL12006  A01;ZOPI;30;ZOPA;KL1;;2;20029;;;;;;
4901;KL12006  A02;ZOPI;31;ZOPA;KL1;;2;20030;;;;;;
4901;KL12006  A03;ZOPI;32;ZOPA;KL1;;2;20031;;;;;;
4901;KL12007  A01;ZOPI;33;ZOPA;KL1;;2;20032;;;;;;
4901;KL12007  A02;ZOPI;34;ZOPA;KL1;;2;20033;;;;;;
4901;KL12007  A03;ZOPI;35;ZOPA;KL1;;2;20034;;;;;;
4901;KL12008  A01;ZOPI;36;ZOPA;KL1;;2;20035;;;;;;
4901;KL12008  A02;ZOPI;37;ZOPA;KL1;;2;20036;;;;;;
4901;KL12008  A03;ZOPI;38;ZOPA;KL1;;2;20037;;;;;;
4901;KL12009  A01;ZOPI;39;ZOPA;KL1;;2;20038;;;;;;
4901;KL12009  A02;ZOPI;40;ZOPA;KL1;;2;20039;;;;;;
4901;KL12009  A03;ZOPI;41;ZOPA;KL1;;2;20040;;;;;;
4901;KL12010  A01;ZOPI;42;ZOPA;KL1;;2;20041;;;;;;
4901;KL12010  A02;ZOPI;43;ZOPA;KL1;;2;20042;;;;;;
4901;KL12010  A03;ZOPI;44;ZOPA;KL1;;2;20043;;;;;;
4901;KL12011  A01;ZOPI;45;ZOPA;KL1;;2;20044;;;;;;
4901;KL12011  A02;ZOPI;46;ZOPA;KL1;;2;20045;;;;;;
4901;KL12011  A03;ZOPI;47;ZOPA;KL1;;2;20046;;;;;;
4901;KL12012  A01;ZOPI;48;ZOPA;KL1;;2;20047;;;;;;
4901;KL12012  A02;ZOPI;49;ZOPA;KL1;;2;20048;;;;;;
4901;KL12012  A03;ZOPI;50;ZOPA;KL1;;2;20049;;;;;;
4901;KL12013  A01;ZOPI;51;ZOPA;KL1;;2;20050;;;;;;
4901;KL12013  A02;ZOPI;52;ZOPA;KL1;;2;20051;;;;;;
4901;KL12013  A03;ZOPI;53;ZOPA;KL1;;2;20052;;;;;;
4901;KL12014  A01;ZOPI;54;ZOPA;KL1;;2;20053;;;;;;
4901;KL12014  A02;ZOPI;55;ZOPA;KL1;;2;20054;;;;;;
4901;KL12014  A03;ZOPI;56;ZOPA;KL1;;2;20055;;;;;;
4901;KL12015  A01;ZOPI;57;ZOPA;KL1;;2;20056;;;;;;
4901;KL12015  A02;ZOPI;58;ZOPA;KL1;;2;20057;;;;;;
4901;KL12015  A03;ZOPI;59;ZOPA;KL1;;2;20058;;;;;;
4901;KL12016  A01;ZOPI;60;ZOPA;KL1;;2;20059;;;;;;
4901;KL12016  A02;ZOPI;61;ZOPA;KL1;;2;20060;;;;;;
4901;KL12016  A03;ZOPI;62;ZOPA;KL1;;2;20061;;;;;;
4901;KL12017  A01;ZOPI;63;ZOPA;KL1;;2;20062;;;;;;
4901;KL12017  A02;ZOPI;64;ZOPA;KL1;;2;20063;;;;;;
4901;KL12017  A03;ZOPI;65;ZOPA;KL1;;2;20064;;;;;;
4901;KL12018  A01;ZOPI;66;ZOPA;KL1;;2;20065;;;;;;
4901;KL12018  A02;ZOPI;67;ZOPA;KL1;;2;20066;;;;;;
4901;KL12018  A03;ZOPI;68;ZOPA;KL1;;2;20067;;;;;;
4901;KL12019  A01;ZOPI;69;ZOPA;KL1;;2;20068;;;;;;
4901;KL12019  A02;ZOPI;70;ZOPA;KL1;;2;20069;;;;;;
4901;KL12019  A03;ZOPI;71;ZOPA;KL1;;2;20070;;;;;;
4901;KL12020  A01;ZOPI;72;ZOPA;KL1;;2;20071;;;;;;
4901;KL12020  A02;ZOPI;73;ZOPA;KL1;;2;20072;;;;;;
4901;KL12020  A03;ZOPI;74;ZOPA;KL1;;2;20073;;;;;;
