Lagernummer;Lagerplatz;Aktivität;Fortlaufende Nummer;Aktivitätsbereich;Lagertyp;Lagerbereich;Lagerplatzgang;Sortierreihenfolge;Entfernung zum Start des Gangs;Ganglänge;Folgegang;Enfernung zum Folgegang;Konsolidierungsgrup.;Nachrichtenzeile
4901;AKF1-01;ZOPI;1;ZOPB;ÜB1;;;100000;;;;;;
4901;KD11002  A01;ZOPI;2;ZOPB;KD1;;1;100001;;;;;;
4901;KL11002  A02;ZOPI;3;ZOPB;KL1;;1;100002;;;;;;
4901;KL11002  A03;ZOPI;4;ZOPB;KL1;;1;100003;;;;;;
4901;KD11002  B01;ZOPI;5;ZOPB;KD1;;1;100004;;;;;;
4901;KD11002  C01;ZOPI;6;ZOPB;KD1;;1;100005;;;;;;
4901;KD11002  D01;ZOPI;7;ZOPB;KD1;;1;100006;;;;;;
4901;KL11004  A01;ZOPI;11;ZOPB;KL1;;1;100010;;;;;;
4901;KL11004  A02;ZOPI;12;ZOPB;KL1;;1;100011;;;;;;
4901;KL11004  A03;ZOPI;13;ZOPB;KL1;;1;100012;;;;;;
4901;KL11006  A01;ZOPI;14;ZOPB;KL1;;1;100013;;;;;;
4901;KL11006  A02;ZOPI;15;ZOPB;KL1;;1;100014;;;;;;
4901;KL11006  A03;ZOPI;16;ZOPB;KL1;;1;100015;;;;;;
4901;KL11008  A01;ZOPI;17;ZOPB;KL1;;1;100016;;;;;;
4901;KL11008  A02;ZOPI;18;ZOPB;KL1;;1;100017;;;;;;
4901;KL11008  A03;ZOPI;19;ZOPB;KL1;;1;100018;;;;;;
4901;KL11008  A03;ZOPI;20;ZOPB;KL1;;1;100019;;;;;;
4901;KL11010  A01;ZOPI;21;ZOPB;KL1;;1;100020;;;;;;
4901;KL11010  A02;ZOPI;22;ZOPB;KL1;;1;100021;;;;;;
4901;KL11010  A03;ZOPI;23;ZOPB;KL1;;1;100022;;;;;;
4901;KL11012  A01;ZOPI;24;ZOPB;KL1;;1;100023;;;;;;
4901;KL11012  A02;ZOPI;25;ZOPB;KL1;;1;100024;;;;;;
4901;KL11012  A03;ZOPI;26;ZOPB;KL1;;1;100025;;;;;;
