Lagernummer;Lagerplatz;Aktivität;Fortlaufende Nummer;Aktivitätsbereich;Lagertyp;Lagerbereich;Lagerplatzgang;Sortierreihenfolge;Entfernung zum Start des Gangs;Ganglänge;Folgegang;Enfernung zum Folgegang;Konsolidierungsgrup.;Nachrichtenzeile
4901;AKF1-09;ZOPI;1;ZOPC;ÜB1;;9;90000;;;;;;
4901;KL19001  F01;ZOPI;2;ZOPC;KL1;;9;90001;;;;;;
4901;KL19002  A01;ZOPI;3;ZOPC;KL1;;9;90002;;;;;;
4901;KL19002  A02;ZOPI;4;ZOPC;KL1;;9;90003;;;;;;
4901;KL19002  A03;ZOPI;5;ZOPC;KL1;;9;90004;;;;;;
4901;KL19002  A04;ZOPI;6;ZOPC;KL1;;9;90005;;;;;;
4901;KL19003  A01;ZOPI;7;ZOPC;KL1;;9;90006;;;;;;
4901;KL19003  A02;ZOPI;8;ZOPC;KL1;;9;90007;;;;;;
4901;KL19003  A03;ZOPI;9;ZOPC;KL1;;9;90008;;;;;;
4901;KL19003  A04;ZOPI;10;ZOPC;KL1;;9;90009;;;;;;
4901;KL19003  A05;ZOPI;11;ZOPC;KL1;;9;90010;;;;;;
4901;KL19003  A06;ZOPI;12;ZOPC;KL1;;9;90011;;;;;;
4901;KL19003  A07;ZOPI;13;ZOPC;KL1;;9;90012;;;;;;
4901;KL19003  A08;ZOPI;14;ZOPC;KL1;;9;90013;;;;;;
4901;KL19003  A09;ZOPI;15;ZOPC;KL1;;9;90014;;;;;;
4901;KL19003  A10;ZOPI;16;ZOPC;KL1;;9;90015;;;;;;
4901;KL19003  A11;ZOPI;17;ZOPC;KL1;;9;90016;;;;;;
4901;KL19003  A12;ZOPI;18;ZOPC;KL1;;9;90017;;;;;;
4901;KL19003  A13;ZOPI;19;ZOPC;KL1;;9;90018;;;;;;
4901;KL19003  A14;ZOPI;20;ZOPC;KL1;;9;90019;;;;;;
4901;KL19003  A15;ZOPI;21;ZOPC;KL1;;9;90020;;;;;;
4901;KL19003  B01;ZOPI;22;ZOPC;KL1;;9;90021;;;;;;
4901;KL19003  B02;ZOPI;23;ZOPC;KL1;;9;90022;;;;;;
4901;KL19003  B03;ZOPI;24;ZOPC;KL1;;9;90023;;;;;;
4901;KL19003  B04;ZOPI;25;ZOPC;KL1;;9;90024;;;;;;
4901;KL19003  B05;ZOPI;26;ZOPC;KL1;;9;90025;;;;;;
4901;KL19003  B06;ZOPI;27;ZOPC;KL1;;9;90026;;;;;;
4901;KL19003  B07;ZOPI;28;ZOPC;KL1;;9;90027;;;;;;
4901;KL19003  B08;ZOPI;29;ZOPC;KL1;;9;90028;;;;;;
4901;KL19003  B09;ZOPI;30;ZOPC;KL1;;9;90029;;;;;;
4901;KL19003  B10;ZOPI;31;ZOPC;KL1;;9;90030;;;;;;
4901;KL19003  B11;ZOPI;32;ZOPC;KL1;;9;90031;;;;;;
4901;KL19003  B12;ZOPI;33;ZOPC;KL1;;9;90032;;;;;;
4901;KL19003  B13;ZOPI;34;ZOPC;KL1;;9;90033;;;;;;
