Lagernummer;Lagerplatz;Aktivität;Fortlaufende Nummer;Aktivitätsbereich;Lagertyp;Lagerbereich;Lagerplatzgang;Sortierreihenfolge;Entfernung zum Start des Gangs;Ganglänge;Folgegang;Enfernung zum Folgegang;Konsolidierungsgrup.;Nachrichtenzeile
4901;MUS1001  A01;ZOPI;1;ZOPD;MUS;;1;300000;;;;;;
4901;MUS1001  A02;ZOPI;2;ZOPD;MUS;;1;300001;;;;;;
4901;MUS1001  A03;ZOPI;3;ZOPD;MUS;;1;300002;;;;;;
4901;MUS1001  A04;ZOPI;4;ZOPD;MUS;;1;300003;;;;;;
4901;MUS1001  A05;ZOPI;5;ZOPD;MUS;;1;300004;;;;;;
4901;MUS1001  A06;ZOPI;6;ZOPD;MUS;;1;300005;;;;;;
4901;MUS1001  A07;ZOPI;7;ZOPD;MUS;;1;300006;;;;;;
4901;MUS1001  A08;ZOPI;8;ZOPD;MUS;;1;300007;;;;;;
4901;MUS1001  A09;ZOPI;9;ZOPD;MUS;;1;300008;;;;;;
4901;MUS1001  A10;ZOPI;10;ZOPD;MUS;;1;300009;;;;;;
4901;MUS1001  A11;ZOPI;11;ZOPD;MUS;;1;300010;;;;;;
4901;MUS1001  A12;ZOPI;12;ZOPD;MUS;;1;300011;;;;;;
4901;MUS1001  A13;ZOPI;13;ZOPD;MUS;;1;300012;;;;;;
4901;MUS1001  A14;ZOPI;14;ZOPD;MUS;;1;300013;;;;;;
4901;MUS1001  A15;ZOPI;15;ZOPD;MUS;;1;300014;;;;;;
4901;MUS1001  A16;ZOPI;16;ZOPD;MUS;;1;300015;;;;;;
4901;MUS1001  A17;ZOPI;17;ZOPD;MUS;;1;300016;;;;;;
4901;MUS1001  A18;ZOPI;18;ZOPD;MUS;;1;300017;;;;;;
4901;MUS1001  A19;ZOPI;19;ZOPD;MUS;;1;300018;;;;;;
4901;MUS1001  A20;ZOPI;20;ZOPD;MUS;;1;300019;;;;;;
4901;MUS1001  A21;ZOPI;21;ZOPD;MUS;;1;300020;;;;;;
4901;MUS1001  A22;ZOPI;22;ZOPD;MUS;;1;300021;;;;;;
4901;MUS1001  A23;ZOPI;23;ZOPD;MUS;;1;300022;;;;;;
4901;MUS1001  A24;ZOPI;24;ZOPD;MUS;;1;300023;;;;;;
4901;MUS1001  A25;ZOPI;25;ZOPD;MUS;;1;300024;;;;;;
4901;MUS1001  A26;ZOPI;26;ZOPD;MUS;;1;300025;;;;;;
4901;MUS1001  A27;ZOPI;27;ZOPD;MUS;;1;300026;;;;;;
4901;MUS1001  A28;ZOPI;28;ZOPD;MUS;;1;300027;;;;;;
4901;MUS1001  A29;ZOPI;29;ZOPD;MUS;;1;300028;;;;;;
4901;MUS1001  A31;ZOPI;30;ZOPD;MUS;;1;300029;;;;;;
4901;MUS1001  A32;ZOPI;31;ZOPD;MUS;;1;300030;;;;;;
4901;MUS1001  A33;ZOPI;32;ZOPD;MUS;;1;300031;;;;;;
4901;MUS1001  A34;ZOPI;33;ZOPD;MUS;;1;300032;;;;;;
4901;MUS1001  A35;ZOPI;34;ZOPD;MUS;;1;300033;;;;;;
4901;MUS1001  A36;ZOPI;35;ZOPD;MUS;;1;300034;;;;;;
4901;MUS1001  A37;ZOPI;36;ZOPD;MUS;;1;300035;;;;;;
4901;MUS1001  A38;ZOPI;37;ZOPD;MUS;;1;300036;;;;;;
4901;MUS1001  A39;ZOPI;38;ZOPD;MUS;;1;300037;;;;;;
4901;MUS1001  A40;ZOPI;39;ZOPD;MUS;;1;300038;;;;;;
4901;MUS1001  A41;ZOPI;40;ZOPD;MUS;;1;300039;;;;;;
4901;MUS1001  A42;ZOPI;41;ZOPD;MUS;;1;300040;;;;;;
4901;MUS1001  A43;ZOPI;42;ZOPD;MUS;;1;300041;;;;;;
4901;MUS1001  A44;ZOPI;43;ZOPD;MUS;;1;300042;;;;;;
4901;MUS1001  A45;ZOPI;44;ZOPD;MUS;;1;300043;;;;;;
4901;MUS1001  A46;ZOPI;45;ZOPD;MUS;;1;300044;;;;;;
4901;MUS1001  A47;ZOPI;46;ZOPD;MUS;;1;300045;;;;;;
4901;MUS1001  A48;ZOPI;47;ZOPD;MUS;;1;300046;;;;;;
4901;MUS1001  A49;ZOPI;48;ZOPD;MUS;;1;300047;;;;;;
4901;MUS1001  A50;ZOPI;49;ZOPD;MUS;;1;300048;;;;;;
4901;MUS1001  A51;ZOPI;50;ZOPD;MUS;;1;300049;;;;;;
4901;MUS1001  A52;ZOPI;51;ZOPD;MUS;;1;300050;;;;;;
4901;MUS1001  A53;ZOPI;52;ZOPD;MUS;;1;300051;;;;;;
4901;MUS1001  A54;ZOPI;53;ZOPD;MUS;;1;300052;;;;;;
4901;MUS1001  A55;ZOPI;54;ZOPD;MUS;;1;300053;;;;;;
4901;MUS1001  A56;ZOPI;55;ZOPD;MUS;;1;300054;;;;;;
4901;MUS1001  A57;ZOPI;56;ZOPD;MUS;;1;300055;;;;;;
4901;MUS1001  A58;ZOPI;57;ZOPD;MUS;;1;300056;;;;;;
4901;MUS1001  A59;ZOPI;58;ZOPD;MUS;;1;300057;;;;;;
4901;MUS1001  A60;ZOPI;59;ZOPD;MUS;;1;300058;;;;;;
4901;MUS1001  A61;ZOPI;60;ZOPD;MUS;;1;300059;;;;;;
4901;MUS1001  A62;ZOPI;61;ZOPD;MUS;;1;300060;;;;;;
4901;MUS1001  A63;ZOPI;62;ZOPD;MUS;;1;300061;;;;;;
4901;MUS1001  A64;ZOPI;63;ZOPD;MUS;;1;300062;;;;;;
4901;MUS1001  A65;ZOPI;64;ZOPD;MUS;;1;300063;;;;;;
4901;MUS1001  A66;ZOPI;65;ZOPD;MUS;;1;300064;;;;;;
4901;MUS1001  A67;ZOPI;66;ZOPD;MUS;;1;300065;;;;;;
4901;MUS1001  A68;ZOPI;67;ZOPD;MUS;;1;300066;;;;;;
4901;MUS1001  A69;ZOPI;68;ZOPD;MUS;;1;300067;;;;;;
4901;MUS1001  A70;ZOPI;69;ZOPD;MUS;;1;300068;;;;;;
4901;MUS1001  A71;ZOPI;70;ZOPD;MUS;;1;300069;;;;;;
4901;MUS1001  A72;ZOPI;71;ZOPD;MUS;;1;300070;;;;;;
4901;MUS1001  A73;ZOPI;72;ZOPD;MUS;;1;300071;;;;;;
4901;MUS1001  A74;ZOPI;73;ZOPD;MUS;;1;300072;;;;;;
4901;MUS1001  A75;ZOPI;74;ZOPD;MUS;;1;300073;;;;;;
4901;MUS1001  A76;ZOPI;75;ZOPD;MUS;;1;300074;;;;;;
4901;MUS1001  R01;ZOPI;76;ZOPD;MUS;;1;300075;;;;;;
4901;MUS1001  R02;ZOPI;77;ZOPD;MUS;;1;300076;;;;;;
4901;MUS1001  R03;ZOPI;78;ZOPD;MUS;;1;300077;;;;;;
4901;MUS1001  R04;ZOPI;79;ZOPD;MUS;;1;300078;;;;;;
4901;MUS1001  R05;ZOPI;80;ZOPD;MUS;;1;300079;;;;;;
4901;MUS1001  R06;ZOPI;81;ZOPD;MUS;;1;300080;;;;;;
4901;MUS1001  R07;ZOPI;82;ZOPD;MUS;;1;300081;;;;;;
4901;MUS1001  R08;ZOPI;83;ZOPD;MUS;;1;300082;;;;;;
4901;MUS1001  R09;ZOPI;84;ZOPD;MUS;;1;300083;;;;;;
4901;MUS1001  R10;ZOPI;85;ZOPD;MUS;;1;300084;;;;;;
4901;MUS1001  R11;ZOPI;86;ZOPD;MUS;;1;300085;;;;;;
4901;MUS1001  R12;ZOPI;87;ZOPD;MUS;;1;300086;;;;;;
4901;MUS1001  R13;ZOPI;88;ZOPD;MUS;;1;300087;;;;;;
4901;MUS1001  R14;ZOPI;89;ZOPD;MUS;;1;300088;;;;;;
4901;MUS1001  R15;ZOPI;90;ZOPD;MUS;;1;300089;;;;;;
4901;MUS1001  R16;ZOPI;91;ZOPD;MUS;;1;300090;;;;;;
4901;MUS1001  R17;ZOPI;92;ZOPD;MUS;;1;300091;;;;;;
4901;MUS1001  R18;ZOPI;93;ZOPD;MUS;;1;300092;;;;;;
4901;MUS1001  R19;ZOPI;94;ZOPD;MUS;;1;300093;;;;;;
4901;MUS1001  R20;ZOPI;95;ZOPD;MUS;;1;300094;;;;;;
4901;MUS1001  R21;ZOPI;96;ZOPD;MUS;;1;300095;;;;;;
4901;MUS1001  R22;ZOPI;97;ZOPD;MUS;;1;300096;;;;;;
4901;MUS1001  R23;ZOPI;98;ZOPD;MUS;;1;300097;;;;;;
4901;MUS1001  R24;ZOPI;99;ZOPD;MUS;;1;300098;;;;;;
4901;MUS1001  R25;ZOPI;100;ZOPD;MUS;;1;300099;;;;;;
4901;MUS1001  R26;ZOPI;101;ZOPD;MUS;;1;300100;;;;;;
4901;MUS1001  R27;ZOPI;102;ZOPD;MUS;;1;300101;;;;;;
4901;MUS1001  R28;ZOPI;103;ZOPD;MUS;;1;300102;;;;;;
4901;MUS1001  R29;ZOPI;104;ZOPD;MUS;;1;300103;;;;;;
4901;MUS1001  R30;ZOPI;105;ZOPD;MUS;;1;300104;;;;;;
4901;MUS1001  R31;ZOPI;106;ZOPD;MUS;;1;300105;;;;;;
4901;MUS1001  R32;ZOPI;107;ZOPD;MUS;;1;300106;;;;;;
4901;MUS1001  R33;ZOPI;108;ZOPD;MUS;;1;300107;;;;;;
4901;MUS1001  R34;ZOPI;109;ZOPD;MUS;;1;300108;;;;;;
4901;MUS1001  R35;ZOPI;110;ZOPD;MUS;;1;300109;;;;;;
4901;MUS1001  R36;ZOPI;111;ZOPD;MUS;;1;300110;;;;;;
4901;MUS1001  R37;ZOPI;112;ZOPD;MUS;;1;300111;;;;;;
4901;MUS1001  R38;ZOPI;113;ZOPD;MUS;;1;300112;;;;;;
4901;MUS1001  R39;ZOPI;114;ZOPD;MUS;;1;300113;;;;;;
4901;MUS1001  R40;ZOPI;115;ZOPD;MUS;;1;300114;;;;;;
4901;MUS1001  R41;ZOPI;116;ZOPD;MUS;;1;300115;;;;;;
4901;MUS1001  R42;ZOPI;117;ZOPD;MUS;;1;300116;;;;;;
4901;MUS1001  R43;ZOPI;118;ZOPD;MUS;;1;300117;;;;;;
4901;MUS1001  R44;ZOPI;119;ZOPD;MUS;;1;300118;;;;;;
4901;MUS1001  R45;ZOPI;120;ZOPD;MUS;;1;300119;;;;;;
4901;MUS1001  R46;ZOPI;121;ZOPD;MUS;;1;300120;;;;;;
4901;MUS1001  R47;ZOPI;122;ZOPD;MUS;;1;300121;;;;;;
4901;MUS1001  R48;ZOPI;123;ZOPD;MUS;;1;300122;;;;;;
4901;MUS1001  R49;ZOPI;124;ZOPD;MUS;;1;300123;;;;;;
4901;MUS1001  R50;ZOPI;125;ZOPD;MUS;;1;300124;;;;;;
4901;MUS1001  R51;ZOPI;126;ZOPD;MUS;;1;300125;;;;;;
4901;MUS1001  R52;ZOPI;127;ZOPD;MUS;;1;300126;;;;;;
4901;MUS1001  R53;ZOPI;128;ZOPD;MUS;;1;300127;;;;;;
4901;MUS1001  R54;ZOPI;129;ZOPD;MUS;;1;300128;;;;;;
4901;MUS1001  R55;ZOPI;130;ZOPD;MUS;;1;300129;;;;;;
4901;MUS1001  R56;ZOPI;131;ZOPD;MUS;;1;300130;;;;;;
4901;MUS1001  R57;ZOPI;132;ZOPD;MUS;;1;300131;;;;;;
4901;MUS1001  R58;ZOPI;133;ZOPD;MUS;;1;300132;;;;;;
4901;MUS1001  R59;ZOPI;134;ZOPD;MUS;;1;300133;;;;;;
4901;MUS1001  R60;ZOPI;135;ZOPD;MUS;;1;300134;;;;;;
4901;MUS1001  R61;ZOPI;136;ZOPD;MUS;;1;300135;;;;;;
4901;MUS1001  R62;ZOPI;137;ZOPD;MUS;;1;300136;;;;;;
4901;MUS1001  R63;ZOPI;138;ZOPD;MUS;;1;300137;;;;;;
