Lagernummer;Lagerplatz;Aktivität;Fortlaufende Nummer;Aktivitätsbereich;Lagertyp;Lagerbereich;Lagerplatzgang;Sortierreihenfolge;Entfernung zum Start des Gangs;Ganglänge;Folgegang;Enfernung zum Folgegang;Konsolidierungsgrup.;Nachrichtenzeile
4901;AKF2-02;ZOPI;123;ZOPE;ÜB2;;2;20093;;;;;;
4901;AKF2-03;ZOPI;124;ZOPE;ÜB2;;3;30000;;;;;;
4901;KL23001  A01;ZOPI;125;ZOPE;KL2;;3;30001;;;;;;
4901;KL23001  A02;ZOPI;126;ZOPE;KL2;;3;30002;;;;;;
4901;KL23001  A03;ZOPI;127;ZOPE;KL2;;3;30003;;;;;;
4901;KL23001  A04;ZOPI;128;ZOPE;KL2;;3;30004;;;;;;
4901;KL23001  A05;ZOPI;129;ZOPE;KL2;;3;30005;;;;;;
4901;KL23001  A06;ZOPI;130;ZOPE;KL2;;3;30006;;;;;;
4901;KL23001  A07;ZOPI;131;ZOPE;KL2;;3;30007;;;;;;
4901;KL23001  A08;ZOPI;132;ZOPE;KL2;;3;30008;;;;;;
4901;KL23001  A09;ZOPI;133;ZOPE;KL2;;3;30009;;;;;;
4901;KL23001  A10;ZOPI;134;ZOPE;KL2;;3;30010;;;;;;
4901;KL23001  A11;ZOPI;135;ZOPE;KL2;;3;30011;;;;;;
4901;KL23001  A12;ZOPI;136;ZOPE;KL2;;3;30012;;;;;;
4901;KL23001  A13;ZOPI;137;ZOPE;KL2;;3;30013;;;;;;
4901;KL23001  A14;ZOPI;138;ZOPE;KL2;;3;30014;;;;;;
4901;KL23001  A15;ZOPI;139;ZOPE;KL2;;3;30015;;;;;;
4901;KL23001  B01;ZOPI;140;ZOPE;KL2;;3;30016;;;;;;
4901;KL23001  B02;ZOPI;141;ZOPE;KL2;;3;30017;;;;;;
4901;KL23001  B03;ZOPI;142;ZOPE;KL2;;3;30018;;;;;;
4901;KL23001  B04;ZOPI;143;ZOPE;KL2;;3;30019;;;;;;
4901;KL23001  B05;ZOPI;144;ZOPE;KL2;;3;30020;;;;;;
4901;KL23001  B06;ZOPI;145;ZOPE;KL2;;3;30021;;;;;;
4901;KL23001  B07;ZOPI;146;ZOPE;KL2;;3;30022;;;;;;
4901;KL23001  B08;ZOPI;147;ZOPE;KL2;;3;30023;;;;;;
4901;KL23001  B09;ZOPI;148;ZOPE;KL2;;3;30024;;;;;;
4901;KL23001  B10;ZOPI;149;ZOPE;KL2;;3;30025;;;;;;
4901;KL23001  B11;ZOPI;150;ZOPE;KL2;;3;30026;;;;;;
4901;KL23001  B12;ZOPI;151;ZOPE;KL2;;3;30027;;;;;;
