Lagernummer;Lagerplatz;Aktivität;Fortlaufende Nummer;Aktivitätsbereich;Lagertyp;Lagerbereich;Lagerplatzgang;Sortierreihenfolge;Entfernung zum Start des Gangs;Ganglänge;Folgegang;Enfernung zum Folgegang;Konsolidierungsgrup.;Nachrichtenzeile
4901;KL37001  P01;ZOPI;1;ZOPF;KL3;;1;10000;;;;;;
4901;KL37001  P02;ZOPI;2;ZOPF;KL3;;1;10001;;;;;;
4901;KL37001  P03;ZOPI;3;ZOPF;KL3;;1;10002;;;;;;
4901;KL37001  P04;ZOPI;4;ZOPF;KL3;;1;10003;;;;;;
4901;KL37001  P05;ZOPI;5;ZOPF;KL3;;1;10004;;;;;;
4901;KL37001  P05;ZOPI;6;ZOPF;KL3;;1;10005;;;;;;
4901;KL37001  P06;ZOPI;7;ZOPF;KL3;;1;10006;;;;;;
4901;KL37001  P06;ZOPI;8;ZOPF;KL3;;1;10007;;;;;;
4901;KL37001  P07;ZOPI;9;ZOPF;KL3;;1;10008;;;;;;
4901;KL37001  P08;ZOPI;10;ZOPF;KL3;;1;10009;;;;;;
4901;KL37001  P08;ZOPI;11;ZOPF;KL3;;1;10010;;;;;;
4901;KL37001  P09;ZOPI;12;ZOPF;KL3;;1;10011;;;;;;
4901;KL37002  P01;ZOPI;13;ZOPF;KL3;;1;10012;;;;;;
4901;KL37002  P02;ZOPI;14;ZOPF;KL3;;1;10013;;;;;;
4901;KL37002  P03;ZOPI;15;ZOPF;KL3;;1;10014;;;;;;
4901;KL37002  P04;ZOPI;16;ZOPF;KL3;;1;10015;;;;;;
4901;KL37002  P05;ZOPI;17;ZOPF;KL3;;1;10016;;;;;;
4901;KL37002  P05;ZOPI;18;ZOPF;KL3;;1;10017;;;;;;
4901;KL37002  P06;ZOPI;19;ZOPF;KL3;;1;10018;;;;;;
4901;KL37002  P06;ZOPI;20;ZOPF;KL3;;1;10019;;;;;;
4901;KL37002  P07;ZOPI;21;ZOPF;KL3;;1;10020;;;;;;
4901;KL37002  P07;ZOPI;22;ZOPF;KL3;;1;10021;;;;;;
4901;KL37003  A01;ZOPI;23;ZOPF;KL3;;1;10022;;;;;;
4901;KL37003  A02;ZOPI;24;ZOPF;KL3;;1;10023;;;;;;
4901;KL37003  A02;ZOPI;25;ZOPF;KL3;;1;10024;;;;;;
4901;KL37003  A03;ZOPI;26;ZOPF;KL3;;1;10025;;;;;;
4901;KL37004  A01;ZOPI;27;ZOPF;KL3;;1;10026;;;;;;
4901;KL37004  A02;ZOPI;28;ZOPF;KL3;;1;10027;;;;;;
4901;KL37004  A02;ZOPI;29;ZOPF;KL3;;1;10028;;;;;;
4901;KL37004  A03;ZOPI;30;ZOPF;KL3;;2;10029;;;;;;
4901;KL37005  A01;ZOPI;31;ZOPF;KL3;;2;10030;;;;;;
4901;KL37005  A02;ZOPI;32;ZOPF;KL3;;2;10031;;;;;;
4901;KL37005  A02;ZOPI;33;ZOPF;KL3;;2;10032;;;;;;
4901;KL37005  A03;ZOPI;34;ZOPF;KL3;;2;10033;;;;;;
4901;KL37006  A01;ZOPI;35;ZOPF;KL3;;2;10034;;;;;;
4901;KL37006  A01;ZOPI;36;ZOPF;KL3;;2;10035;;;;;;
4901;KL37006  A02;ZOPI;37;ZOPF;KL3;;2;10036;;;;;;
4901;KL37006  A02;ZOPI;38;ZOPF;KL3;;2;10037;;;;;;
4901;KL37006  A03;ZOPI;39;ZOPF;KL3;;2;10038;;;;;;
4901;KL37007  A01;ZOPI;40;ZOPF;KL3;;2;10039;;;;;;
